City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,nova vicosa,-17.8919,-39.3719,297.1,56,97,3.86,BR,1699417778
422,ghat,24.9647,10.1728,293.46,19,7,2.1,LY,1699417778
423,aberdeen,57.1437,-2.0981,273.42,100,40,1.03,GB,1699417779
424,lamu,-2.2717,40.902,299.27,84,38,1.78,KE,1699417779
425,mersa matruh,31.3525,27.2453,296.26,73,40,2.06,EG,1699417780
426,mangaldai,26.4333,92.0333,297.57,65,0,1.84,IN,1699417780
427,plettenberg bay,-34.0527,23.3716,286.32,77,5,1.58,ZA,1699417781
428,santo antonio,-6.3106,-35.4789,295.63,87,82,2.96,BR,1699417781
429,okha,53.5739,142.9478,272.38,61,29,5.66,RU,1699417782
430,bamboo flat,11.7,92.7167,303.2,79,40,3.6,IN,1699417783
431,souda,35.4844,24.0744,288.78,100,20,0.0,GR,1699417784
432,phalodi,27.1333,72.3667,301.43,22,9,1.25,IN,1699417784
433,westport,41.1415,-73.3579,286.58,63,0,3.6,US,1699417546
434,laayoune,27.1622,-13.2032,291.27,65,2,9.29,EH,1699417785
435,san luis de la loma,17.2706,-100.8939,299.54,86,20,1.85,MX,1699417786
436,tamandare,-8.7597,-35.1047,297.78,85,52,3.03,BR,1699417786
437,suhbaatar,50.2314,106.2078,266.12,57,100,5.34,MN,1699417786
438,pekalongan,-6.8886,109.6753,304.37,63,90,3.44,ID,1699417787
439,broome,42.2506,-75.833,279.02,84,100,3.6,US,1699417787
440,castillos,-34.1667,-53.8333,291.5,97,100,3.21,UY,1699417788
441,sehwan,26.4279,67.863,302.32,30,21,0.38,PK,1699417788
442,vilhena,-12.7406,-60.1458,295.62,84,69,1.81,BR,1699417789
443,mordovo,52.0834,40.77,278.33,95,12,3.27,RU,1699417789
444,fall river,41.7015,-71.1551,284.57,71,0,4.12,US,1699417790
445,rosarito,32.3333,-117.0333,290.69,82,12,2.77,MX,1699417790
446,rugaji,57.0,27.1333,279.95,90,98,3.53,LV,1699417790
447,kudahuvadhoo,2.6708,72.8944,300.77,74,24,3.38,MV,1699417791
448,nerchinsk,51.9833,116.5833,265.63,74,100,4.71,RU,1699417791
449,sao jose da coroa grande,-8.8978,-35.1478,297.96,83,53,3.32,BR,1699417792
450,bilokurakyne,49.5341,38.7307,279.81,86,18,3.07,UA,1699417792
451,alzamay,55.5562,98.6644,265.64,80,99,1.5,RU,1699417793
452,dubti,11.7361,41.0853,299.82,48,98,2.06,ET,1699417793
453,dibba al-fujairah,25.5923,56.26,297.15,63,0,1.4,AE,1699417793
454,deqen,29.9618,90.7188,277.4,36,48,1.43,CN,1699417794
455,vyetka,52.5591,31.1794,277.23,100,2,1.0,BY,1699417794
456,selfoss,63.9331,-20.9971,275.33,57,65,7.69,IS,1699417795
457,balurghat,25.2167,88.7667,298.8,51,0,1.57,IN,1699417795
458,bafoulabe,13.8065,-10.8321,298.22,24,4,0.71,ML,1699417795
459,dunbar,38.3606,-81.7374,285.79,95,0,0.45,US,1699417796
460,tutrakan,44.05,26.6167,287.0,81,27,1.63,BG,1699417796
461,hithadhoo,-0.6,73.0833,300.49,77,100,4.15,MV,1699417797
462,sabratah,32.7933,12.4885,296.02,28,68,3.19,LY,1699417797
463,mali,12.079,-12.2982,289.99,38,12,0.89,GN,1699417799
464,lulea,65.5842,22.1547,272.19,100,100,2.57,SE,1699417799
465,caleta de carquin,-11.0925,-77.6267,291.68,87,38,4.15,PE,1699417800
466,brumunddal,60.881,10.9395,273.92,99,100,1.12,NO,1699417759
467,aldama,22.9167,-98.0667,297.31,93,41,0.78,MX,1699417801
468,hengyang,26.8881,112.615,297.06,66,100,1.87,CN,1699417803
469,formosa do rio preto,-11.0483,-45.1931,295.27,83,90,2.58,BR,1699417804
470,narasannapeta,18.4167,84.05,302.35,62,0,1.02,IN,1699417806
471,rabigh,22.7986,39.0349,304.45,38,8,5.53,SA,1699417808
472,meizhou,24.2977,116.1072,303.8,52,43,0.84,CN,1699417810
473,sao gabriel da cachoeira,-0.1303,-67.0892,295.69,99,92,1.0,BR,1699417811
474,gokwe,-18.2048,28.9349,295.68,51,83,6.28,ZW,1699417812
475,las heras,-46.5419,-68.9359,281.83,54,6,5.74,AR,1699417813
476,nikolayevsk-on-amure,53.1406,140.73,270.71,84,90,1.56,RU,1699417814
477,puerto armuelles,8.2833,-82.8667,300.42,84,100,3.13,PA,1699417814
478,argo,37.6333,22.7333,290.6,46,56,0.72,GR,1699417815
479,zuni pueblo,35.0725,-108.8506,286.5,35,0,5.46,US,1699417816
480,grande prairie,55.1667,-118.8027,272.25,69,75,4.12,CA,1699417611
481,kailua-kona,19.6406,-155.9956,300.13,80,100,4.63,US,1699417818
482,opuwo,-18.0607,13.84,293.82,23,0,1.23,NA,1699417818
483,auki,-8.7676,160.7034,300.15,85,92,1.95,SB,1699417819
484,yaren,-0.5472,166.916,302.01,77,56,6.45,NR,1699417820
485,pacocha,-17.5833,-71.3333,290.88,82,72,1.57,PE,1699417821
486,mar del plata,-38.0023,-57.5575,290.16,84,0,3.6,AR,1699417628
487,palmer,42.1584,-72.3287,282.67,66,20,7.72,US,1699417822
488,ouro preto do oeste,-10.7481,-62.2158,296.64,94,100,1.87,BR,1699417535
489,palikir - national government center,6.9248,158.1611,303.62,79,100,3.09,FM,1699417823
490,lucapa,-8.4192,20.7447,292.82,96,93,0.62,AO,1699417824
491,cidreira,-30.1811,-50.2056,291.38,92,2,7.3,BR,1699417824
492,galle,6.0367,80.217,300.46,81,98,2.21,LK,1699417825
493,hirara,24.8,125.2833,300.07,61,40,5.66,JP,1699417825
494,kirakira,-10.4544,161.9205,299.44,87,100,4.36,SB,1699417826
495,la manga del mar menor,37.6413,-0.7165,285.6,76,0,0.51,ES,1699417827
496,mejit,10.2753,170.8646,301.13,83,16,10.51,MH,1699417827
497,samthar,25.85,78.9167,302.87,27,5,2.77,IN,1699417828
498,meulaboh,4.1363,96.1285,300.62,78,100,1.53,ID,1699417830
499,dolores,-36.3132,-57.6792,286.75,95,41,2.64,AR,1699417830
500,junin de los andes,-39.9504,-71.0694,276.11,89,5,3.21,AR,1699417832
501,youhao,47.8667,128.8333,269.27,74,68,1.91,CN,1699417833
502,bahia de kino,28.8333,-111.9333,299.85,48,0,2.5,MX,1699417833
503,hakkari,37.5833,44.1667,272.03,100,20,0.0,TR,1699417834
504,kalmunai,7.4167,81.8167,301.32,76,97,1.54,LK,1699417834
505,howard springs,-12.497,131.047,306.41,64,35,4.67,AU,1699417835
506,yeppoon,-23.1333,150.7333,300.03,61,54,6.87,AU,1699417835
507,dryden,49.7833,-92.7503,270.31,93,100,7.2,CA,1699417836
508,douglas,41.3,-96.167,289.64,71,100,4.12,US,1699417632
509,yoloten,37.2989,62.3597,291.98,54,66,7.7,TM,1699417837
510,ammi moussa,35.8678,1.1114,281.99,70,15,1.02,DZ,1699417837
511,martuk,50.7475,56.5056,281.2,87,100,6.13,KZ,1699417838
512,vila do maio,15.1333,-23.2167,298.59,72,79,8.71,CV,1699417840
513,beira,-19.8436,34.8389,297.2,100,100,3.6,MZ,1699417841
514,melfort,52.8667,-104.6177,271.22,93,100,1.03,CA,1699417841
515,port macquarie,-31.4333,152.9167,297.53,62,4,7.02,AU,1699417667
516,rosa zarate,0.3333,-79.4667,296.88,98,100,0.35,EC,1699417843
517,pervomayskoye,43.919,46.7102,285.5,67,0,3.36,RU,1699417843
518,polyarnyy,69.1989,33.4478,271.57,68,90,5.9,RU,1699417844
519,fort st. john,56.2499,-120.8529,270.09,86,20,5.14,CA,1699417845
520,borgarnes,64.5383,-21.9206,280.18,69,63,4.38,IS,1699417845
521,yuzhno-kurilsk,44.0306,145.8556,282.25,72,75,9.22,RU,1699417846
522,kem',64.9555,34.5793,274.15,86,100,5.55,RU,1699417846
523,olinda,-8.0089,-34.8553,300.0,74,40,4.12,BR,1699417847
524,arraial do cabo,-22.9661,-42.0278,294.71,67,13,7.26,BR,1699417847
525,kajuru,10.3192,7.6892,293.04,53,46,1.78,NG,1699417848
526,jalai nur,49.45,117.7,265.9,71,100,5.75,CN,1699417848
527,tudor vladimirescu,45.5667,27.65,285.93,81,84,4.73,RO,1699417849
528,ghadamis,30.1337,9.5007,295.61,21,88,4.96,LY,1699417849
529,newman,37.3138,-121.0208,287.75,66,1,1.34,US,1699417668
530,kidal,18.4411,1.4078,297.53,15,24,3.86,ML,1699417850
531,bela,25.9333,81.9833,301.24,26,2,2.32,IN,1699417850
532,laminusa,5.5549,120.9136,301.26,76,100,4.25,PH,1699417851
533,antsiranana,-12.2787,49.2917,300.57,61,20,5.14,MG,1699417851
534,siena,43.2167,11.4,283.99,89,10,0.76,IT,1699417607
535,puerto leguizamo,-0.1934,-74.7819,295.44,99,100,1.03,CO,1699417852
536,nemuro,43.3236,145.575,282.1,66,48,7.36,JP,1699417853
537,souillac,-20.5167,57.5167,295.36,100,75,2.57,MU,1699417853
538,pueblo nuevo,23.3833,-105.3833,286.14,64,64,2.15,MX,1699417854
539,santiago,-33.4569,-70.6483,290.29,54,0,5.14,CL,1699417855
540,fort mcmurray,56.7268,-111.381,275.92,87,100,2.57,CA,1699417841
